id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1100403,2002,45060000,3219000,41841000,9171000,1992000,8865000,21813000
1101005,2002,43979000,1689000,42290000,12082000,1718000,4590000,23899000
1200336,2002,31111000,365000,30746000,4954000,1462000,4100000,20230000
1200385,2002,54088000,916000,53172000,17208000,2609000,6527000,26827000
1301654,2002,26050000,676000,25374000,7184000,864000,2598000,14728000
1505809,2002,105648000,5556000,100093000,20714000,27574000,20347000,31457000
1712454,2002,7272000,531000,6741000,2416000,317000,1482000,2526000
1718006,2002,5933000,280000,5653000,631000,391000,1396000,3236000
2101350,2002,6779000,156000,6623000,1531000,430000,1251000,3412000
2103752,2002,22604000,464000,22140000,6908000,2156000,5542000,7534000
2111904,2002,16833000,279000,16554000,6263000,798000,3109000,6383000
2204501,2002,41846000,857000,40990000,1764000,25468000,4490000,9268000
2205854,2002,9199000,165000,9034000,1621000,337000,1403000,5672000
2208502,2002,13589000,267000,13322000,1755000,387000,2586000,8594000
2302800,2002,151865000,7371000,144493000,23354000,13470000,50280000,57389000
2304905,2002,14084000,404000,13681000,2599000,625000,3292000,7165000
2306306,2002,165735000,12860000,152874000,27342000,54697000,40023000,30812000
2311603,2002,82941000,5865000,77076000,12963000,25566000,18190000,20357000
2401107,2002,404845000,10551000,394294000,2582000,278347000,82358000,31006000
2407401,2002,17654000,872000,16782000,1448000,1162000,5671000,8501000
2408003,2002,1507930000,153680000,1354250000,34481000,578829000,485164000,255777000
2414605,2002,59759000,1483000,58276000,3302000,32388000,9200000,13386000
2502706,2002,14900000,245000,14655000,6491000,481000,2348000,5334000
2505600,2002,12415000,352000,12063000,2399000,461000,2724000,6478000
2506608,2002,11794000,206000,11588000,2180000,812000,2209000,6387000
2514107,2002,7850000,141000,7709000,1116000,176000,1258000,5159000
2515500,2002,26578000,900000,25678000,2981000,1011000,8902000,12784000
2606200,2002,394160000,62197000,331963000,44101000,104519000,112005000,71338000
2607109,2002,12511000,270000,12241000,4556000,316000,2258000,5109000
2608008,2002,25323000,910000,24413000,3078000,500000,6082000,14753000
2608404,2002,31903000,708000,31195000,10454000,800000,6078000,13863000
2800100,2002,5808000,329000,5479000,498000,570000,929000,3483000
2805802,2002,52468000,1771000,50697000,17756000,2450000,7185000,23306000
2901155,2002,35991000,1017000,34974000,15036000,1683000,6249000,12006000
2902302,2002,22708000,469000,22239000,11215000,1120000,3551000,6353000
2904803,2002,23703000,580000,23122000,7569000,591000,3143000,11819000
2907103,2002,37908000,1548000,36360000,6915000,1481000,9240000,18724000
2909604,2002,40055000,1178000,38877000,15061000,1540000,7153000,15122000
2912400,2002,39864000,2000000,37864000,17519000,2943000,6752000,10649000
2917201,2002,26544000,1038000,25506000,5347000,1114000,6275000,12770000
2922102,2002,42040000,1689000,40351000,11396000,1321000,12969000,14665000
2922409,2002,44756000,4023000,40733000,7858000,1775000,16709000,14391000
2922706,2002,26364000,837000,25527000,7449000,751000,5959000,11368000
2925253,2002,22676000,954000,21722000,3557000,895000,4486000,12784000
2927903,2002,16677000,1030000,15647000,1573000,601000,5232000,8241000
3110301,2002,53932000,3662000,50270000,11505000,8195000,18979000,11591000
3112109,2002,12907000,462000,12445000,2284000,550000,3804000,5808000
3112307,2002,80386000,5897000,74489000,11502000,4982000,30077000,27928000
3115300,2002,417102000,63620000,353482000,5093000,116331000,165763000,66295000
3116100,2002,21765000,677000,21087000,1426000,645000,5377000,13640000
3118403,2002,71349000,5342000,66006000,9393000,5245000,29645000,21722000
3122801,2002,7510000,190000,7320000,1293000,314000,1944000,3768000
3129707,2002,229229000,2461000,226769000,16418000,178680000,19386000,12285000
3135704,2002,20043000,1175000,18868000,6675000,2182000,4553000,5458000
3137908,2002,6959000,250000,6710000,698000,265000,1915000,3831000
3149150,2002,18239000,593000,17646000,5269000,778000,3522000,8078000
3149705,2002,25627000,2257000,23370000,2813000,6520000,8074000,5963000
3156452,2002,9061000,421000,8640000,1344000,437000,2390000,4468000
3169307,2002,606827000,127317000,479510000,29490000,181330000,201852000,66838000
3203700,2002,54739000,4592000,50147000,10011000,5075000,14385000,20677000
3302304,2002,39363000,1388000,37975000,4014000,2738000,10777000,20446000
3303005,2002,141745000,5291000,136454000,5481000,20948000,52174000,57851000
3507100,2002,76769000,8103000,68666000,3446000,20309000,29365000,15546000
3509254,2002,446065000,153749000,292316000,41085000,135833000,80801000,34596000
3510153,2002,15796000,539000,15257000,3675000,2042000,4503000,5036000
3524907,2002,80774000,11279000,69495000,1782000,45875000,16372000,5466000
3527603,2002,495548000,71729000,423820000,47663000,264608000,94908000,16640000
3529658,2002,12423000,203000,12221000,6253000,588000,2461000,2918000
3540259,2002,23917000,1063000,22854000,10596000,1734000,5846000,4677000
3542008,2002,26502000,1987000,24515000,6034000,4260000,8573000,5648000
3543501,2002,20333000,440000,19893000,6055000,1102000,5518000,7217000
3546306,2002,140327000,9574000,130753000,30004000,8088000,65752000,26909000
3548302,2002,9335000,248000,9088000,2013000,780000,2969000,3326000
3548401,2002,24038000,909000,23129000,7836000,3099000,7033000,5161000
3552106,2002,193832000,18258000,175575000,28293000,27389000,87349000,32544000
4107538,2002,30729000,3330000,27400000,10079000,3792000,8169000,5359000
4108957,2002,33570000,1526000,32044000,14616000,2892000,6915000,7621000
4109104,2002,12654000,483000,12171000,5891000,849000,2617000,2814000
4124103,2002,181163000,18939000,162224000,23628000,17457000,87244000,33895000
4126306,2002,139812000,10526000,129287000,44551000,40287000,27909000,16539000
4127007,2002,65375000,2688000,62687000,34119000,6709000,12945000,8914000
